"","class","tw","venue"
"177","field","Delhi Daredevils","Punjab Cricket Association Stadium, Mohali"
"178","field","Kolkata Knight Riders","Eden Gardens"
"179","bat","Deccan Chargers","MA Chidambaram Stadium, Chepauk"
"180","field","Delhi Daredevils","Sardar Patel Stadium, Motera"
"181","bat","Kings XI Punjab","M Chinnaswamy Stadium"
"182","bat","Chennai Super Kings","Eden Gardens"
"183","field","Delhi Daredevils","Feroz Shah Kotla"
"184","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"185","bat","Delhi Daredevils","Feroz Shah Kotla"
"186","field","Kings XI Punjab","Barabati Stadium"
"187","bat","Rajasthan Royals","Sardar Patel Stadium, Motera"
"188","bat","Mumbai Indians","Brabourne Stadium"
"189","bat","Deccan Chargers","Barabati Stadium"
"190","field","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"191","bat","Kolkata Knight Riders","Brabourne Stadium"
"192","field","Chennai Super Kings","M Chinnaswamy Stadium"
"193","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"194","field","Mumbai Indians","Brabourne Stadium"
"195","bat","Deccan Chargers","Sardar Patel Stadium, Motera"
"196","bat","Kolkata Knight Riders","Punjab Cricket Association Stadium, Mohali"
"197","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"198","bat","Rajasthan Royals","Sardar Patel Stadium, Motera"
"199","field","Deccan Chargers","Dr DY Patil Sports Academy"
"200","bat","Delhi Daredevils","Feroz Shah Kotla"
"201","field","Mumbai Indians","Brabourne Stadium"
"202","bat","Royal Challengers Bangalore","MA Chidambaram Stadium, Chepauk"
"203","bat","Delhi Daredevils","Feroz Shah Kotla"
"204","bat","Kolkata Knight Riders","Eden Gardens"
"205","bat","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"206","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"207","bat","Mumbai Indians","Brabourne Stadium"
"208","bat","Kolkata Knight Riders","Eden Gardens"
"209","bat","Delhi Daredevils","Feroz Shah Kotla"
"210","bat","Rajasthan Royals","Vidarbha Cricket Association Stadium, Jamtha"
"211","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"212","bat","Kings XI Punjab","Sawai Mansingh Stadium"
"213","bat","Kolkata Knight Riders","Eden Gardens"
"214","field","Deccan Chargers","M Chinnaswamy Stadium"
"215","bat","Mumbai Indians","Punjab Cricket Association Stadium, Mohali"
"216","bat","Chennai Super Kings","Vidarbha Cricket Association Stadium, Jamtha"
"217","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"218","bat","Delhi Daredevils","Feroz Shah Kotla"
"219","field","Rajasthan Royals","Sawai Mansingh Stadium"
"220","field","Royal Challengers Bangalore","Vidarbha Cricket Association Stadium, Jamtha"
"221","bat","Mumbai Indians","Brabourne Stadium"
"222","bat","Kolkata Knight Riders","MA Chidambaram Stadium, Chepauk"
"223","bat","Rajasthan Royals","Sawai Mansingh Stadium"
"224","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"225","field","Deccan Chargers","Himachal Pradesh Cricket Association Stadium"
"226","field","Royal Challengers Bangalore","M Chinnaswamy Stadium"
"227","bat","Rajasthan Royals","Eden Gardens"
"228","field","Chennai Super Kings","Himachal Pradesh Cricket Association Stadium"
"229","bat","Deccan Chargers","Feroz Shah Kotla"
"230","bat","Mumbai Indians","Eden Gardens"
"231","bat","Mumbai Indians","Dr DY Patil Sports Academy"
"232","bat","Chennai Super Kings","Dr DY Patil Sports Academy"
"233","bat","Deccan Chargers","Dr DY Patil Sports Academy"
"234","bat","Chennai Super Kings","Dr DY Patil Sports Academy"
"235","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"236","field","Rajasthan Royals","Rajiv Gandhi International Stadium, Uppal"
"237","bat","Kochi Tuskers Kerala","Nehru Stadium"
"238","bat","Delhi Daredevils","Feroz Shah Kotla"
"239","bat","Kings XI Punjab","Dr DY Patil Sports Academy"
"240","bat","Kolkata Knight Riders","Eden Gardens"
"241","bat","Delhi Daredevils","Sawai Mansingh Stadium"
"242","field","Mumbai Indians","M Chinnaswamy Stadium"
"243","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"244","bat","Kochi Tuskers Kerala","Dr DY Patil Sports Academy"
"245","field","Royal Challengers Bangalore","Rajiv Gandhi International Stadium, Uppal"
"246","field","Kolkata Knight Riders","Sawai Mansingh Stadium"
"247","field","Kochi Tuskers Kerala","Wankhede Stadium"
"248","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"249","field","Kings XI Punjab","Rajiv Gandhi International Stadium, Uppal"
"250","field","Delhi Daredevils","Dr DY Patil Sports Academy"
"251","field","Kolkata Knight Riders","Eden Gardens"
"252","field","Kochi Tuskers Kerala","Nehru Stadium"
"253","bat","Deccan Chargers","Feroz Shah Kotla"
"254","bat","Pune Warriors","Wankhede Stadium"
"255","field","Kolkata Knight Riders","Eden Gardens"
"256","field","Rajasthan Royals","Punjab Cricket Association Stadium, Mohali"
"257","field","Chennai Super Kings","Wankhede Stadium"
"258","field","Royal Challengers Bangalore","Eden Gardens"
"259","field","Kings XI Punjab","Feroz Shah Kotla"
"260","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"261","field","Rajasthan Royals","Sawai Mansingh Stadium"
"262","field","Pune Warriors","MA Chidambaram Stadium, Chepauk"
"263","field","Royal Challengers Bangalore","Feroz Shah Kotla"
"264","bat","Pune Warriors","Dr DY Patil Sports Academy"
"265","field","Kochi Tuskers Kerala","Nehru Stadium"
"266","field","Delhi Daredevils","Feroz Shah Kotla"
"267","field","Rajasthan Royals","Sawai Mansingh Stadium"
"268","field","Pune Warriors","M Chinnaswamy Stadium"
"269","bat","Delhi Daredevils","Nehru Stadium"
"270","field","Kolkata Knight Riders","Eden Gardens"
"271","field","Rajasthan Royals","Sawai Mansingh Stadium"
"272","bat","Chennai Super Kings","MA Chidambaram Stadium, Chepauk"
"273","field","Kings XI Punjab","Wankhede Stadium"
